Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
Computer Networks,107,22 of 70 seats remain,"Davis, Elizabeth",Fall 2022,31.42857143,Fall,2022,Risky
Computer Architecture,109,6 of 30 seats remain,"Smith, John",Fall 2022,20,Fall,2022,Very Risky
Intro to Programming,112,25 of 30 seats remain,"Martinez, Jessica",Fall 2022,83.33333333,Fall,2022,No Risk
Computer Architecture,114,33 of 50 seats remain,"Smith, John",Fall 2022,66,Fall,2022,Low Risk
Data Structures,117,63 of 70 seats remain,"Jones, Robert",Fall 2022,90,Fall,2022,No Risk
Data Structures,118,24 of 30 seats remain,"Johnson, Emily",Fall 2022,80,Fall,2022,Low Risk
Artificial Intelligence,121,30 of 70 seats remain,"Smith, John",Fall 2022,42.85714286,Fall,2022,Medium risk
Intro to Programming,121,14 of 50 seats remain,"Garcia, Maria",Fall 2022,28,Fall,2022,Risky
Artificial Intelligence,122,11 of 20 seats remain,"Miller, James",Fall 2022,55,Fall,2022,Medium risk
Data Structures,124,7 of 20 seats remain,"Rodriguez, Michael",Fall 2022,35,Fall,2022,Risky
Operating Systems,128,16 of 60 seats remain,"Johnson, Emily",Fall 2022,26.66666667,Fall,2022,Risky
Operating Systems,129,42 of 70 seats remain,"Williams, David",Fall 2022,60,Fall,2022,Medium risk
Computer Networks,131,12 of 20 seats remain,"Brown, Linda",Fall 2022,60,Fall,2022,Medium risk
Intro to Programming,131,23 of 60 seats remain,"Martinez, Jessica",Fall 2022,38.33333333,Fall,2022,Risky
Artificial Intelligence,132,23 of 50 seats remain,"Martinez, Jessica",Fall 2022,46,Fall,2022,Medium risk
Machine Learning,135,3 of 50 seats remain,"Smith, John",Fall 2022,6,Fall,2022,Very Risky
Computer Networks,140,24 of 40 seats remain,"Garcia, Maria",Fall 2022,60,Fall,2022,Medium risk
Data Structures,148,48 of 60 seats remain,"Garcia, Maria",Fall 2022,80,Fall,2022,Low Risk
Computer Architecture,149,7 of 20 seats remain,"Smith, John",Fall 2022,35,Fall,2022,Risky
Computer Architecture,149,FULL: 0 of 30 seats remain,"Jones, Robert",Fall 2022,0,Fall,2022,Very Risky
Computer Architecture,150,33 of 70 seats remain,"Jones, Robert",Fall 2022,47.14285714,Fall,2022,Medium risk
Machine Learning,150,13 of 30 seats remain,"Martinez, Jessica",Fall 2022,43.33333333,Fall,2022,Medium risk
Artificial Intelligence,152,15 of 20 seats remain,"Smith, John",Fall 2022,75,Fall,2022,Low Risk
Intro to Programming,161,46 of 60 seats remain,"Davis, Elizabeth",Fall 2022,76.66666667,Fall,2022,Low Risk
Computer Architecture,163,12 of 40 seats remain,"Smith, John",Fall 2022,30,Fall,2022,Risky
Data Structures,163,25 of 40 seats remain,"Garcia, Maria",Fall 2022,62.5,Fall,2022,Low Risk
Data Structures,163,21 of 30 seats remain,"Johnson, Emily",Fall 2022,70,Fall,2022,Low Risk
Operating Systems,163,22 of 70 seats remain,"Garcia, Maria",Fall 2022,31.42857143,Fall,2022,Risky
Intro to Programming,164,18 of 60 seats remain,"Smith, John",Fall 2022,30,Fall,2022,Risky
Database Systems,170,37 of 40 seats remain,"Martinez, Jessica",Fall 2022,92.5,Fall,2022,No Risk
Intro to Programming,171,9 of 30 seats remain,"Miller, James",Fall 2022,30,Fall,2022,Risky
Software Engineering,172,18 of 40 seats remain,"Smith, John",Fall 2022,45,Fall,2022,Medium risk
Data Structures,173,13 of 30 seats remain,"Smith, John",Fall 2022,43.33333333,Fall,2022,Medium risk
Artificial Intelligence,174,51 of 60 seats remain,"Rodriguez, Michael",Fall 2022,85,Fall,2022,No Risk
Software Engineering,175,12 of 70 seats remain,"Smith, John",Fall 2022,17.14285714,Fall,2022,Very Risky
Algorithms,175,6 of 60 seats remain,"Johnson, Emily",Fall 2022,10,Fall,2022,Very Risky
Artificial Intelligence,176,33 of 70 seats remain,"Johnson, Emily",Fall 2022,47.14285714,Fall,2022,Medium risk
Software Engineering,177,23 of 60 seats remain,"Jones, Robert",Fall 2022,38.33333333,Fall,2022,Risky
Machine Learning,182,48 of 50 seats remain,"Davis, Elizabeth",Fall 2022,96,Fall,2022,No Risk
Computer Architecture,187,32 of 40 seats remain,"Williams, David",Fall 2022,80,Fall,2022,Low Risk
Software Engineering,191,37 of 70 seats remain,"Miller, James",Fall 2022,52.85714286,Fall,2022,Medium risk
Software Engineering,199,48 of 60 seats remain,"Brown, Linda",Fall 2022,80,Fall,2022,Low Risk
Data Structures,199,15 of 50 seats remain,"Johnson, Emily",Fall 2022,30,Fall,2022,Risky
Algorithms,200,37 of 60 seats remain,"Martinez, Jessica",Fall 2022,61.66666667,Fall,2022,Low Risk
Intro to Programming,206,5 of 20 seats remain,"Williams, David",Fall 2022,25,Fall,2022,Risky
Software Engineering,207,47 of 70 seats remain,"Johnson, Emily",Fall 2022,67.14285714,Fall,2022,Low Risk
Operating Systems,207,25 of 50 seats remain,"Rodriguez, Michael",Fall 2022,50,Fall,2022,Medium risk
Computer Architecture,211,22 of 30 seats remain,"Johnson, Emily",Fall 2022,73.33333333,Fall,2022,Low Risk
Artificial Intelligence,212,28 of 60 seats remain,"Williams, David",Fall 2022,46.66666667,Fall,2022,Medium risk
Algorithms,212,30 of 50 seats remain,"Miller, James",Fall 2022,60,Fall,2022,Medium risk
Machine Learning,218,31 of 40 seats remain,"Rodriguez, Michael",Fall 2022,77.5,Fall,2022,Low Risk
Computer Architecture,220,45 of 70 seats remain,"Williams, David",Fall 2022,64.28571429,Fall,2022,Low Risk
Data Structures,222,14 of 20 seats remain,"Smith, John",Fall 2022,70,Fall,2022,Low Risk
Data Structures,226,30 of 40 seats remain,"Davis, Elizabeth",Fall 2022,75,Fall,2022,Low Risk
