,Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
0,Computer Networks,107,22 of 70 seats remain,"Davis, Elizabeth",Fall 2022,31.428571428571427,Fall,2022,Risky
1,Computer Architecture,109,6 of 30 seats remain,"Smith, John",Fall 2022,20.0,Fall,2022,Very Risky
2,Intro to Programming,112,25 of 30 seats remain,"Martinez, Jessica",Fall 2022,83.33333333333334,Fall,2022,No Risk
3,Computer Architecture,114,33 of 50 seats remain,"Smith, John",Fall 2022,66.0,Fall,2022,Low Risk
4,Data Structures,117,63 of 70 seats remain,"Jones, Robert",Fall 2022,90.0,Fall,2022,No Risk
5,Data Structures,118,24 of 30 seats remain,"Johnson, Emily",Fall 2022,80.0,Fall,2022,Low Risk
6,Artificial Intelligence,121,30 of 70 seats remain,"Smith, John",Fall 2022,42.857142857142854,Fall,2022,Medium risk
7,Intro to Programming,121,14 of 50 seats remain,"Garcia, Maria",Fall 2022,28.000000000000004,Fall,2022,Risky
8,Artificial Intelligence,122,11 of 20 seats remain,"Miller, James",Fall 2022,55.00000000000001,Fall,2022,Medium risk
9,Data Structures,124,7 of 20 seats remain,"Rodriguez, Michael",Fall 2022,35.0,Fall,2022,Risky
10,Operating Systems,128,16 of 60 seats remain,"Johnson, Emily",Fall 2022,26.666666666666668,Fall,2022,Risky
11,Operating Systems,129,42 of 70 seats remain,"Williams, David",Fall 2022,60.0,Fall,2022,Medium risk
12,Computer Networks,131,12 of 20 seats remain,"Brown, Linda",Fall 2022,60.0,Fall,2022,Medium risk
13,Intro to Programming,131,23 of 60 seats remain,"Martinez, Jessica",Fall 2022,38.333333333333336,Fall,2022,Risky
14,Artificial Intelligence,132,23 of 50 seats remain,"Martinez, Jessica",Fall 2022,46.0,Fall,2022,Medium risk
15,Machine Learning,135,3 of 50 seats remain,"Smith, John",Fall 2022,6.0,Fall,2022,Very Risky
16,Computer Networks,140,24 of 40 seats remain,"Garcia, Maria",Fall 2022,60.0,Fall,2022,Medium risk
17,Data Structures,148,48 of 60 seats remain,"Garcia, Maria",Fall 2022,80.0,Fall,2022,Low Risk
18,Computer Architecture,149,7 of 20 seats remain,"Smith, John",Fall 2022,35.0,Fall,2022,Risky
19,Computer Architecture,149,0 of 30 seats remain,"Jones, Robert",Fall 2022,0.0,Fall,2022,Very Risky
20,Computer Architecture,150,33 of 70 seats remain,"Jones, Robert",Fall 2022,47.14285714285714,Fall,2022,Medium risk
21,Machine Learning,150,13 of 30 seats remain,"Martinez, Jessica",Fall 2022,43.333333333333336,Fall,2022,Medium risk
22,Artificial Intelligence,152,15 of 20 seats remain,"Smith, John",Fall 2022,75.0,Fall,2022,Low Risk
23,Intro to Programming,161,46 of 60 seats remain,"Davis, Elizabeth",Fall 2022,76.66666666666667,Fall,2022,Low Risk
24,Computer Architecture,163,12 of 40 seats remain,"Smith, John",Fall 2022,30.0,Fall,2022,Risky
25,Data Structures,163,25 of 40 seats remain,"Garcia, Maria",Fall 2022,62.5,Fall,2022,Low Risk
26,Data Structures,163,21 of 30 seats remain,"Johnson, Emily",Fall 2022,70.0,Fall,2022,Low Risk
27,Operating Systems,163,22 of 70 seats remain,"Garcia, Maria",Fall 2022,31.428571428571427,Fall,2022,Risky
28,Intro to Programming,164,18 of 60 seats remain,"Smith, John",Fall 2022,30.0,Fall,2022,Risky
29,Database Systems,170,37 of 40 seats remain,"Martinez, Jessica",Fall 2022,92.5,Fall,2022,No Risk
30,Intro to Programming,171,9 of 30 seats remain,"Miller, James",Fall 2022,30.0,Fall,2022,Risky
31,Software Engineering,172,18 of 40 seats remain,"Smith, John",Fall 2022,45.0,Fall,2022,Medium risk
32,Data Structures,173,13 of 30 seats remain,"Smith, John",Fall 2022,43.333333333333336,Fall,2022,Medium risk
33,Artificial Intelligence,174,51 of 60 seats remain,"Rodriguez, Michael",Fall 2022,85.0,Fall,2022,No Risk
34,Software Engineering,175,12 of 70 seats remain,"Smith, John",Fall 2022,17.142857142857142,Fall,2022,Very Risky
35,Algorithms,175,6 of 60 seats remain,"Johnson, Emily",Fall 2022,10.0,Fall,2022,Very Risky
36,Artificial Intelligence,176,33 of 70 seats remain,"Johnson, Emily",Fall 2022,47.14285714285714,Fall,2022,Medium risk
37,Software Engineering,177,23 of 60 seats remain,"Jones, Robert",Fall 2022,38.333333333333336,Fall,2022,Risky
38,Machine Learning,182,48 of 50 seats remain,"Davis, Elizabeth",Fall 2022,96.0,Fall,2022,No Risk
39,Computer Architecture,187,32 of 40 seats remain,"Williams, David",Fall 2022,80.0,Fall,2022,Low Risk
40,Software Engineering,191,37 of 70 seats remain,"Miller, James",Fall 2022,52.85714285714286,Fall,2022,Medium risk
41,Software Engineering,199,48 of 60 seats remain,"Brown, Linda",Fall 2022,80.0,Fall,2022,Low Risk
42,Data Structures,199,15 of 50 seats remain,"Johnson, Emily",Fall 2022,30.0,Fall,2022,Risky
43,Algorithms,200,37 of 60 seats remain,"Martinez, Jessica",Fall 2022,61.66666666666667,Fall,2022,Low Risk
44,Intro to Programming,206,5 of 20 seats remain,"Williams, David",Fall 2022,25.0,Fall,2022,Risky
45,Software Engineering,207,47 of 70 seats remain,"Johnson, Emily",Fall 2022,67.14285714285714,Fall,2022,Low Risk
46,Operating Systems,207,25 of 50 seats remain,"Rodriguez, Michael",Fall 2022,50.0,Fall,2022,Medium risk
47,Computer Architecture,211,22 of 30 seats remain,"Johnson, Emily",Fall 2022,73.33333333333333,Fall,2022,Low Risk
48,Artificial Intelligence,212,28 of 60 seats remain,"Williams, David",Fall 2022,46.666666666666664,Fall,2022,Medium risk
49,Algorithms,212,30 of 50 seats remain,"Miller, James",Fall 2022,60.0,Fall,2022,Medium risk
50,Machine Learning,218,31 of 40 seats remain,"Rodriguez, Michael",Fall 2022,77.5,Fall,2022,Low Risk
51,Computer Architecture,220,45 of 70 seats remain,"Williams, David",Fall 2022,64.28571428571429,Fall,2022,Low Risk
52,Data Structures,222,14 of 20 seats remain,"Smith, John",Fall 2022,70.0,Fall,2022,Low Risk
53,Data Structures,226,30 of 40 seats remain,"Davis, Elizabeth",Fall 2022,75.0,Fall,2022,Low Risk
54,Software Engineering,227,21 of 60 seats remain,"Johnson, Emily",Fall 2022,35.0,Fall,2022,Risky
55,Intro to Programming,228,21 of 30 seats remain,"Garcia, Maria",Fall 2022,70.0,Fall,2022,Low Risk
56,Data Structures,236,12 of 50 seats remain,"Smith, John",Fall 2022,24.0,Fall,2022,Risky
57,Artificial Intelligence,236,12 of 50 seats remain,"Brown, Linda",Fall 2022,24.0,Fall,2022,Risky
58,Machine Learning,237,10 of 20 seats remain,"Davis, Elizabeth",Fall 2022,50.0,Fall,2022,Medium risk
59,Computer Architecture,243,42 of 70 seats remain,"Johnson, Emily",Fall 2022,60.0,Fall,2022,Medium risk
60,Computer Networks,250,4 of 20 seats remain,"Miller, James",Fall 2022,20.0,Fall,2022,Very Risky
61,Machine Learning,251,14 of 20 seats remain,"Johnson, Emily",Fall 2022,70.0,Fall,2022,Low Risk
62,Operating Systems,252,24 of 30 seats remain,"Miller, James",Fall 2022,80.0,Fall,2022,Low Risk
63,Machine Learning,252,4 of 50 seats remain,"Garcia, Maria",Fall 2022,8.0,Fall,2022,Very Risky
64,Algorithms,252,16 of 40 seats remain,"Davis, Elizabeth",Fall 2022,40.0,Fall,2022,Risky
65,Data Structures,253,36 of 50 seats remain,"Miller, James",Fall 2022,72.0,Fall,2022,Low Risk
66,Machine Learning,259,7 of 50 seats remain,"Jones, Robert",Fall 2022,14.000000000000002,Fall,2022,Very Risky
67,Computer Networks,260,5 of 20 seats remain,"Brown, Linda",Fall 2022,25.0,Fall,2022,Risky
68,Artificial Intelligence,263,29 of 60 seats remain,"Martinez, Jessica",Fall 2022,48.333333333333336,Fall,2022,Medium risk
69,Software Engineering,273,13 of 70 seats remain,"Miller, James",Fall 2022,18.571428571428573,Fall,2022,Very Risky
70,Software Engineering,278,11 of 30 seats remain,"Rodriguez, Michael",Fall 2022,36.666666666666664,Fall,2022,Risky
71,Computer Networks,278,18 of 70 seats remain,"Garcia, Maria",Fall 2022,25.71428571428571,Fall,2022,Risky
72,Artificial Intelligence,279,26 of 40 seats remain,"Brown, Linda",Fall 2022,65.0,Fall,2022,Low Risk
73,Artificial Intelligence,279,12 of 30 seats remain,"Miller, James",Fall 2022,40.0,Fall,2022,Risky
74,Database Systems,281,43 of 60 seats remain,"Jones, Robert",Fall 2022,71.66666666666667,Fall,2022,Low Risk
75,Computer Networks,281,15 of 20 seats remain,"Davis, Elizabeth",Fall 2022,75.0,Fall,2022,Low Risk
76,Data Structures,283,16 of 60 seats remain,"Johnson, Emily",Fall 2022,26.666666666666668,Fall,2022,Risky
77,Intro to Programming,285,0 of 40 seats remain,"Martinez, Jessica",Fall 2022,0.0,Fall,2022,Very Risky
78,Algorithms,287,5 of 30 seats remain,"Smith, John",Fall 2022,16.666666666666664,Fall,2022,Very Risky
79,Software Engineering,291,16 of 30 seats remain,"Miller, James",Fall 2022,53.333333333333336,Fall,2022,Medium risk
80,Algorithms,292,24 of 50 seats remain,"Smith, John",Fall 2022,48.0,Fall,2022,Medium risk
81,Computer Networks,293,58 of 70 seats remain,"Brown, Linda",Fall 2022,82.85714285714286,Fall,2022,No Risk
82,Computer Networks,294,6 of 60 seats remain,"Jones, Robert",Fall 2022,10.0,Fall,2022,Very Risky
83,Software Engineering,295,11 of 50 seats remain,"Brown, Linda",Fall 2022,22.0,Fall,2022,Risky
84,Data Structures,298,8 of 30 seats remain,"Davis, Elizabeth",Fall 2022,26.666666666666668,Fall,2022,Risky
85,Computer Networks,300,25 of 70 seats remain,"Martinez, Jessica",Fall 2022,35.714285714285715,Fall,2022,Risky
86,Computer Architecture,300,21 of 70 seats remain,"Martinez, Jessica",Fall 2022,30.0,Fall,2022,Risky
87,Data Structures,304,42 of 70 seats remain,"Williams, David",Fall 2022,60.0,Fall,2022,Medium risk
88,Database Systems,309,16 of 20 seats remain,"Davis, Elizabeth",Fall 2022,80.0,Fall,2022,Low Risk
89,Intro to Programming,315,38 of 60 seats remain,"Miller, James",Fall 2022,63.33333333333333,Fall,2022,Low Risk
90,Algorithms,315,4 of 20 seats remain,"Miller, James",Fall 2022,20.0,Fall,2022,Very Risky
91,Data Structures,315,9 of 70 seats remain,"Williams, David",Fall 2022,12.857142857142856,Fall,2022,Very Risky
92,Intro to Programming,318,36 of 40 seats remain,"Miller, James",Fall 2022,90.0,Fall,2022,No Risk
93,Algorithms,322,5 of 30 seats remain,"Garcia, Maria",Fall 2022,16.666666666666664,Fall,2022,Very Risky
94,Operating Systems,323,23 of 30 seats remain,"Garcia, Maria",Fall 2022,76.66666666666667,Fall,2022,Low Risk
95,Data Structures,323,20 of 50 seats remain,"Martinez, Jessica",Fall 2022,40.0,Fall,2022,Risky
96,Data Structures,324,35 of 50 seats remain,"Rodriguez, Michael",Fall 2022,70.0,Fall,2022,Low Risk
97,Machine Learning,327,28 of 40 seats remain,"Martinez, Jessica",Fall 2022,70.0,Fall,2022,Low Risk
98,Data Structures,332,41 of 50 seats remain,"Smith, John",Fall 2022,82.0,Fall,2022,No Risk
99,Database Systems,333,55 of 70 seats remain,"Miller, James",Fall 2022,78.57142857142857,Fall,2022,Low Risk
100,Artificial Intelligence,336,6 of 50 seats remain,"Smith, John",Fall 2022,12.0,Fall,2022,Very Risky
101,Data Structures,341,11 of 20 seats remain,"Williams, David",Fall 2022,55.00000000000001,Fall,2022,Medium risk
102,Database Systems,344,15 of 30 seats remain,"Jones, Robert",Fall 2022,50.0,Fall,2022,Medium risk
103,Operating Systems,344,32 of 70 seats remain,"Miller, James",Fall 2022,45.714285714285715,Fall,2022,Medium risk
104,Artificial Intelligence,345,27 of 40 seats remain,"Jones, Robert",Fall 2022,67.5,Fall,2022,Low Risk
105,Data Structures,354,5 of 60 seats remain,"Davis, Elizabeth",Fall 2022,8.333333333333332,Fall,2022,Very Risky
106,Operating Systems,355,4 of 20 seats remain,"Brown, Linda",Fall 2022,20.0,Fall,2022,Very Risky
107,Algorithms,356,30 of 60 seats remain,"Garcia, Maria",Fall 2022,50.0,Fall,2022,Medium risk
108,Artificial Intelligence,358,5 of 60 seats remain,"Williams, David",Fall 2022,8.333333333333332,Fall,2022,Very Risky
109,Computer Architecture,359,46 of 60 seats remain,"Smith, John",Fall 2022,76.66666666666667,Fall,2022,Low Risk
110,Software Engineering,360,18 of 50 seats remain,"Brown, Linda",Fall 2022,36.0,Fall,2022,Risky
111,Computer Networks,362,37 of 60 seats remain,"Johnson, Emily",Fall 2022,61.66666666666667,Fall,2022,Low Risk
112,Intro to Programming,365,10 of 20 seats remain,"Jones, Robert",Fall 2022,50.0,Fall,2022,Medium risk
